id,name,latitude,longitude,db_id,connection_count,ic_connection_count,ic_connection_count_int,connections_avg,connections_wavg,sizes_default,sizes_weighted
173,Joué-lès-Tours Berthelot,47.3500000000,0.6666670000,8703510,0,0,0
176,Eu,50.0541988,1.416837,8701093,12,0,0
177,Alleyras,44.919217,3.673517,8704935,21,0,0
178,Le Havre,49.492996,0.125677,8700112,24,1,1
180,Harfleur-Halte,49.5059181,0.192085,8703460,6,0,0
181,Harfleur,49.5136336,0.1989828,8703459,5,0,0
184,Montivilliers,49.5429758,0.189426,8704042,6,0,0
186,Dieppe,49.921788,1.081133,8700085,10,0,0
187,Fontainebleau—Avon,48.416371,2.726340,8700535,25,0,0
191,Albi Ville,43.922380,2.137958,8704917,20,0,0
192,Orléans Centre,47.907960,1.904666,8700404,79,0,0
194,Vendôme,47.8021498,1.0678728,8702203,15,0,0
195,Fréjus,43.432032,6.732941,8700472,28,0,0
196,Fontenay-le-Comte,46.46785957735252,-0.809592604637146,8702433,0,0,0
199,St-Hilaire-de-Riez,46.7166736,-1.9496838,8704586,8,0,0
200,St-Hilaire-de-Riez Centre,46.718728,-1.944618,8704585,8,0,0
201,La Clayette—Baudemont,46.2881469,4.2984195,8703559,29,0,0
203,Tours,47.389781,0.693703,8700161,151,5,5
204,Cambrai,50.17662,3.24118,8700842,33,0,0
205,Aiguebelle,45.5437225,6.3067175,8702385,8,0,0
207,Agen,44.208311,0.620932,8700062,42,13,7
208,Ervy-le-Châtel Halles,48.0333330000,3.9166670000,8701075,0,0,0
209,Fays-la-Chapelle,48.1333330000,4.0166670000,8701170,0,0,0
210,Agonac,45.2865966,0.7486706,8702621,9,0,0
211,Limoges Bénédictins,45.836089,1.267356,8700029,97,13,0
212,Modane,45.193365,6.658161,8700127,0,0,0
215,Argenton-sur-Creuse,46.592248,1.518305,8702299,36,5,0
216,Argenton-sur-Creuse Gare Routière,46.587009,1.503158,8705087,0,0,0
218,Agay,43.4313701,6.8564997,8700588,25,0,0
223,Versailles-Chantiers,48.7958264,2.1358827,8700079,128,3,2
224,Villeneuve-au-Chemin,48.082895,3.844281,8702200,0,0,0
232,Maussac,45.4833330000,2.1500000000,8703951,0,0,0
233,Aix-en-Provence TGV,43.455237,5.317534,8704980,54,40,40
234,Moustéru,48.5074512,-3.2435052,8704068,9,0,0
239,Aillevillers,47.9138876,6.3372988,8700256,10,0,0
241,Ailly-sur-Noye,49.75448,2.36419,8700605,17,0,0
246,Ailly-sur-Somme,49.92838,2.20059,8700634,14,0,0
252,Aiserey,47.170501,5.1582447,8702468,13,0,0
267,Azay-sur-Indre,47.2000000000,0.9500000000,8702750,0,0,0
286,Mouroux,48.8139949,3.0423421,8704067,7,0,0
292,Alet-les-Bains,42.9974445,2.2518325,8702640,0,0,0
293,Allassac,45.2589385,1.4731471,8700598,10,0,0
295,Albens,45.785946,5.9483418,8702637,24,0,0
304,La Ferté-sous-Jouarre,48.950741,3.125577,8701378,13,0,0
311,Merten,49.2500000000,6.6666670000,8701579,0,0,0
313,La Ferté-Milon,49.1797269,3.1207223,8701379,7,0,0
316,Albi Madeleine,43.938011,2.1409629,8702638,20,0,0
